Alt,ApH,PeH,THR,TWR
83.05,76.7,-598435.3,0,0.001
83.07,76.8,-598435.3,1,5.5965
107.1,211.5,-598436.9,1,5.70662
177.29,615.8,-598438.1,1,5.82502
294.6,1305.5,-598438.8,1,5.95217
460.02,2298.3,-598439.4,1,6.0913
673.26,2969.5,-598440,0.32381,6.17656
893.46,3389.2,-598432.6,0.32072,6.23726
1122.64,3825,-598422.8,0.31759,6.29855
1360.72,4275,-598410.7,0.31451,6.36039
1607.54,4738.9,-598395.1,0.31145,6.42274
1863.01,5216.7,-598376.1,0.30844,6.48558
2126.99,5708.2,-598353.4,0.30545,6.54889
2399.39,6213.2,-598326.9,0.30251,6.61263
2680.11,6731.6,-598296.6,0.2996,6.67678
2969.05,7263.5,-598262.8,0.29673,6.74133
3266.13,7808.2,-598225.4,0.2939,6.80627
3571.22,8363.1,-598183.9,0.29111,6.87156
3884.08,8923.6,-598137.7,0.28835,6.9372
4198.04,9487.1,-598086.6,0.28564,7.00315
4525.32,10041.4,-598030.5,0.28296,7.06939
4859.36,10608.3,-597970.7,0.28032,7.13589
5199.88,11177.4,-597904.9,0.27773,7.20265
5546.62,11750.4,-597834.7,0.27517,7.26964
5899.41,12329,-597759.9,0.27265,7.33685
6258.15,12915.4,-597680.7,0.27016,7.40429
6622.77,13509.7,-597596.7,0.26772,7.47176
6993.18,14111.5,-597507.2,0.26531,7.53847
7369.32,14720.7,-597411.9,0.26294,7.60654
7751.13,15337.7,-597310.7,0.26064,7.67482
8138.53,15962.9,-597203.5,0.25833,7.74331
8531.51,16596.9,-597090,0.25606,7.81201
8930.04,17240.6,-596970,0.25382,7.88091
9334.11,17895,-596843.2,0.25162,7.94994
9743.77,18561.6,-596709.4,0.24945,8.01907
10159.06,19241.1,-596568.2,0.24731,8.08834
10580.04,19934.2,-596419,0.24521,8.15775
11006.79,20642,-596261.2,0.24313,8.22734
11439.4,21365.2,-596094.4,0.24109,8.29713
11877.95,22103.9,-595918,0.23907,8.36714
12322.53,22858.2,-595731.5,0.23708,8.43739
12764.31,23628,-595534.3,0.23511,8.5079
13221.04,24397.8,-595325.7,0.23317,8.57869
13683.99,25198.3,-595109.7,0.23126,8.64979
14153.21,26014.1,-594876.9,0.22936,8.72121
14628.74,26845,-594630.8,0.22749,8.79297
15110.61,27690.8,-594371,0.22564,8.86509
15598.86,28551.8,-594097,0.22381,8.93758
16093.5,29427.5,-593808.4,0.222,9.01017
17591.78,29114.2,-593683.1,1,7.63005
18051.13,29323.9,-592894.5,0.26009,7.69078
18509.97,30012.8,-592418.4,0.25807,7.75098
18973.65,30844.7,-592050.5,0.25607,7.81157
19444.12,31723.7,-591705.9,0.25408,7.8726
19912.38,32625.7,-591356.2,0.25211,7.9341
20397.2,33521.6,-590987.5,0.25016,7.99609
20889.21,34447.6,-590608.5,0.24822,8.05856
21388.36,35388.6,-590207.2,0.2463,8.12153
21894.62,36344.7,-589791,0.24439,8.18502
22407.95,37316.7,-589360.6,0.24249,8.24901
22928.36,38305.1,-588916.7,0.24061,8.31325
23455.82,39310.5,-588460,0.23874,8.37728
23990.35,40333.4,-587991,0.23689,8.44285
24531.95,41374.2,-587510.1,0.23505,8.50895
25080.63,42433.3,-587017.7,0.23326,8.57559
25636.39,43511.1,-586514,0.23144,8.6428
26199.25,44607.8,-585999.3,0.22964,8.71057
26769.23,45723.8,-585473.7,0.22785,8.77892
27346.33,46859.1,-584937.3,0.22608,8.84785
27930.57,48013.8,-584390.6,0.22432,8.91738
28521.95,49188,-583833.5,0.22257,8.98751
29120.48,50382.2,-583266,0.22083,9.05825
29726.17,51596.6,-582688.3,0.2191,9.1296
30339.03,52831.5,-582100.5,0.21739,9.20156
30959.06,54087.2,-581502.4,0.21569,9.27415
31586.29,55364,-580894.2,0.214,9.34738
32208.2,56662.1,-580275.7,0.21232,9.42125
32849.69,57955.7,-579647.1,0.21065,9.49577
33498.39,59296.9,-579020.8,0.209,9.57094
34154.31,60660.2,-578371.9,0.20736,9.64678
34817.46,62045.9,-577712.8,0.20572,9.72329
35487.85,63454.5,-577043.3,0.2041,9.80048
36165.48,64886.1,-576363.6,0.20249,9.87794
